District,PCI
Ariyalur,56558,1
Chennai,150275,1
Karur,98013,2
Cuddalore,75039,1
Nagapattinam,67456,1
Kancheepuram,136345,1
Perambalur,46840,1
Thiruvallur,141293,2
Thanjavur,67520,1
Tiruvannamalai,38449,1
Thiruvarur,46228
Vellore,97308,1
Tiruchirappalli,121527,2
Viluppuram,55419,2
Dindigul,80387,1
Kanniyakumari,98077,1
Madurai,85040,1
Pudukkottai,66335
Ramanathapuram,64558,1
Sivaganga,71152,1
Theni,69828,1
Tirunelveli,90692,1
Thoothukudi,122648,1
Virudhunagar,104055,1
Coimbatore,121099,2
Dharmapuri,74807,1
Erode,119683,1
Krishnagiri,113583,1
Namakkal,128532,1
Salem,88040,2
The Nilgiris,87174,1
Tiruppur,112192,2

District,PCI,label
Almora,86961,1
Bageshwar,91145,2
Chamoli,109163,2
Champawat,84878,1
Dehradun,176658,2
Haridwar,233566,2
Nainital,105273,1
Garhwal,98086,2
Pithoragarh,93070,1
Rudraprayag,75939,1
U.S.Nagar,173117,1
